AOD,PM2.5,ug/m3
0.112959999,26.66666667,
0.132039993,22.16666667,
0.130880005,14.03333333,
0.222240005,8.033333333,
0.084239998,11.8,
0.233440002,42,
0.470083344,68.26666667,
0.260880005,8.6,
0.145520004,5.466666667,
0.894880005,8.333333333,
0.218916672,49.3,
0.097666664,5.933333333,
0.11,4.866666667,
0.11768,6.266666667,
0.162720001,15.93333333,
0.484519989,44.8,
0.386480011,37.5,
0.084160004,7.733333333,
0.206919998,35.2,
0.228160004,32.3,
0.119440002,3.333333333,
0.253960007,66.13333333,
0.141279999,44.6,
0.282359985,53.66666667,
0.087040001,8.733333333,
0.150839996,28.53333333,
0.351480011,95.66666667,
0.124800003,15.66666667,
0.154240005,18,
0.053080002,13.66666667,
0.244411758,63.66666667,
0.642875,284.6666667,
0.130919998,8.666666667,
0.63523999,158.6666667,
0.161720001,13.33333333,
1.71023999,82.33333333,
0.173199997,15.66666667,
0.134399994,7,
0.618280029,157.6666667,
0.128360001,4.333333333,
0.176839996,23.66666667,
0.943599976,181,
0.942960022,145,
1.506319946,88,
0.263920013,17.33333333,
0.097760002,16.33333333,
0.281720001,86.33333333,
0.421279999,46,
0.180199997,13.33333333,
0.169479996,20,
0.190639999,33,
0.835428589,123,
1.399599976,205,
0.756400024,95,
0.306320007,25,
0.132360001,14.66666667,
0.748119995,143.6666667,
0.147559998,15,
0.269279999,34.66666667,
0.322640015,45.33333333,
1.756439941,215.3333333,
0.844599976,154.1,
0.224160004,22.5,
0.268679993,25.6,
0.093239998,18.83333333,
0.733545471,62.8,
0.900080017,72.33333333,
1.21282605,165.0666667,
0.114279999,28.1,
0.945440002,101.2666667,
0.093,20.7,
0.097160004,33.13333333,
0.862080017,107.9,
0.457839996,29.06666667,
0.145130432,14.7,
0.105125,6.933333333,
0.054375,7.7,
0.908625,137.4,
0.05732,20.23333333,
0.06084,15.96666667,
0.062080002,49.1,
0.073160004,6.433333333,
0.260959991,56.13333333,
0.85447998,112.5,
0.093559998,11.96666667,
0.181320007,21.73333333,
0.140199997,23.1,
2.996800049,363.9333333,
0.058400002,12.4,
0.203399994,45.1,
0.059759998,18.76666667,
0.139919998,25.26666667,
0.06052,12.2,
0.408880005,29.93333333,
0.054360001,8.7,
0.082400002,15.1,
0.602960022,102.5666667,
0.123559998,9.566666667,
0.084400002,8.333333333,
0.433640015,70,
0.142,42.33333333,
0.093239998,5.133333333,
0.127519997,27,
0.131279999,25.53333333,
0.077879997,15.9,
0.248240005,55.53333333,
0.250720001,19.4,
0.149360001,23.26666667,
0.81,30.73333333,
0.256440002,61.86666667,
0.098199997,8.8,
0.112239998,6.666666667,
0.148839996,19.26666667,
0.481700012,55.9,
0.383359985,52.66666667,
0.084080002,12.36666667,
0.200720001,37.03333333,
0.233839996,35.86666667,
0.101839996,11.2,
0.225199997,80.3,
0.166279999,64.93333333,
0.287880005,68.26666667,
0.079239998,15.4,
0.146440002,35.4,
0.396920013,116,
0.109519997,22,
0.146399994,30.33333333,
0.099440002,7.333333333,
0.670599976,139.6666667,
0.231839996,18.66666667,
0.121239998,11.33333333,
0.659080017,163,
0.108120003,3.666666667,
0.156759995,24.66666667,
0.900636353,195.3333333,
0.101400002,20.33333333,
0.250600006,91.33333333,
0.32323999,32.33333333,
0.164039993,7.666666667,
0.158160004,26.33333333,
0.168600006,32.66666667,
0.773333313,111.3333333,
0.732,97.66666667,
0.277720001,22,
0.146199997,19,
0.669679993,148.3333333,
0.151919998,14,
0.206800003,42.66666667,
0.148119995,9,
0.257399994,32.66666667,
0.797799988,130.1333333,
0.196559998,32.23333333,
0.217080002,43.23333333,
0.091639999,17.4,
0.84147998,72.8,
0.49125,135.4666667,
0.105720001,27.16666667,
0.846200012,107.3333333,
0.857400024,109.3666667,
0.383440002,6.233333333,
0.09668,12.46666667,
0.734470581,133.8,
0.05568,18.33333333,
0.06316,14.13333333,
0.06268,36.86666667,
0.087066666,6.3,
0.559545471,83.53333333,
0.205399994,47.36666667,
0.819280029,117.5333333,
0.085919998,14.3,
0.116080002,17.93333333,
0.122639999,16.6,
2.978360107,325.6666667,
0.058240002,6.633333333,
0.05848,14.3,
0.108400002,29.03333333,
0.251440002,94.46666667,
0.069480003,9.8,
0.372440002,34.03333333,
1.017119995,74.2,
0.068360001,7.366666667,
0.06768,14.36666667,
0.438399994,75.7,
0.129039993,10.03333333,
0.441440002,66,
0.156160004,55.33333333,
0.073959999,5.166666667,
0.124800003,28.66666667,
0.131279999,23.33333333,
0.070919998,9.866666667,
0.230160004,56.26666667,
0.243880005,19.03333333,
0.158565216,40,
0.664,25.83333333,
0.370040009,72.83333333,
0.096360001,9.266666667,
0.11568,7.966666667,
0.373600006,50.16666667,
0.230880005,43.46666667,
0.161520004,46.96666667,
0.280920013,76.93333333,
0.094639999,11.8,
0.204039993,26.93333333,
0.113400002,61.66666667,
0.073080002,12.66666667,
2.922679932,349,
0.10468,43.33333333,
0.630058838,164,
0.128882355,21.33333333,
0.601799988,91.66666667,
0.186039993,18,
0.088360001,12.33333333,
0.211279999,66.66666667,
0.336359985,62,
0.113800003,5.333333333,
0.150479996,20.33333333,
0.101440002,13,
0.11168,12,
0.168039993,51.33333333,
0.104400002,8.333333333,
0.401839996,63.66666667,
0.74152002,130,
0.165039993,21.23333333,
0.062662224,12.2,
0.64447998,51.06666667,
0.05848,11.63333333,
0.071120003,37.56666667,
0.132880005,23.26666667,
0.065879997,6.966666667,
0.058560001,12.43333333,
0.068160004,26.6,
0.171679993,19.93333333,
0.570880005,65.76666667,
0.067919998,12,
0.096559998,47.63333333,
0.06532,5.9,
0.081599998,9.633333333,
0.084639999,10.53333333,
2.928719971,271.5333333,
0.062040001,4.5,
0.166,21.83333333,
0.05868,4.266666667,
0.079360001,22.8,
0.214559998,79.26666667,
0.06868,4.6,
0.45023999,27.1,
0.06232,4.5,
0.433359985,96.36666667,
0.083720001,46.13333333,
0.228039993,34,
0.093199997,17.33333333,
0.085480003,7.566666667,
0.1105,32,
0.173279999,20.56666667,
0.223240005,66.96666667,
0.197090912,14.8,
0.281440002,38.73333333,
0.507079987,15.7,
0.046720001,18.03333333,
0.086760002,29.56666667,
0.105959999,45.1,
0.059650002,27.06666667,
0.353559998,101.6666667,
0.133839996,17.66666667,
1.739319946,160.6666667,
0.167839996,42.33333333,
0.142642853,18,
0.056,10,
0.113760002,13.33333333,
0.291720001,79,
0.472279999,86,
0.162679993,9.666666667,
0.326200012,99.33333333,
0.696960022,129.3333333,
0.63621051,56.66666667,
0.171360001,17,
0.217375,21,
1.75606665,206.6666667,
1.36880957,85,
0.200479996,24,
0.147240005,7,
0.587320007,154.6666667,
0.154720001,3,
0.190039993,27.33333333,
0.175600006,7,
0.871919983,137,
1.466280029,93,
0.262359985,15.33333333,
0.132039993,14,
0.302920013,99,
0.526359985,32.66666667,
0.190520004,10.66666667,
0.196360001,24.33333333,
0.194559998,41,
1.0735,127.3333333,
1.419119995,251,
0.693919983,80.66666667,
0.32876001,20.66666667,
0.167679993,19.33333333,
0.169919998,11.33333333,
0.293880005,37.33333333,
0.175119995,12,
1.742560059,288.6666667,
0.692119995,107.7,
0.900799988,127.7666667,
0.243479996,18.8,
0.267200012,18.5,
0.096519997,18.63333333,
0.63352002,60.3,
0.92123999,78.96666667,
0.120559998,14.46666667,
0.961080017,106.3666667,
0.111199997,40.2,
0.808642883,107.6333333,
0.506440002,26.3,
0.145559998,37.03333333,
0.067916664,9.233333333,
0.932190491,129.3333333,
1.006039978,127.1,
0.134941177,41.03333333,
0.058400002,17.96666667,
0.585666687,34.3,
0.064800003,10.73333333,
0.064879997,31.56666667,
0.29676001,68.96666667,
0.188,14.8,
0.075440002,9.233333333,
0.178720001,21.06666667,
0.129720001,23.66666667,
2.984199951,329.1333333,
0.060119999,7.133333333,
0.210440002,43.36666667,
0.066959999,10.8,
0.148240005,27.36666667,
0.217160004,98.6,
0.057720001,8.766666667,
0.416440002,34.63333333,
0.060919998,6.966666667,
0.09368,21.9,
